col1,col2,col3
TOzlS9DUtVB7NmAcaJiM2F9TdxY4FCBzcfeN6dq3AOk=,,
KsrySP+5lMt8Q2hW6pPn6v2AY6i8n9vyQUoTeYZ0GL0=,,
hHAuFu0ePpUBXPD1iViuoEuuUPnuWAIgwyO3FmxP5bU=,,
CZIUFFzjbEDJ60s9f54WUq9D2IFNHwL6Ld1+5ibtyoo=,,
he9aFG5H0vC/8Nw/1wdWG5BhZDzuaQJVVDYXYqBSRTs=,,
0PAYbFQd2pmfRMIEnmnUXM+HNXzTuwoTx+D6ue9E/nY=,,
jUKrHOcx0ae9hHb0naMCnffd4Ro9Js8A4IMtRGk5ysI=,,js5Wb0L56PLXew6pZjg0j0jXrKG+eE6qNwPEitx7bPg=
pQ5tV4Q1ej53NGBrDczv9qFEx9uLu4RYvlgLmu6eNUg=,,
VoBwiVxONxjTa/nEeWU1scfA/EjPcQv81g5qOyQ6f1s=,,0q++qB26NQMGB2gSH1EbXCBeGHBmX4KlSD1AlwT8uoQ=
0uaHUcPlW7yYL09eqjVGF9Vj8PoEPTcwCYNgphLE/PY=,,
5LyRe7MCVgCN8PplBsjUC075cbKn5v23269S5qcSTYg=,,
EJR2RhopsLSmGWqSWjZHcIHtK9XshodKUXHWknF0LdU=,,
cwjl/Jfxprx/xTYdWRJ7cFG+UCyX6e+Vcph6GqETpLo=,,
pnqG0VEWJIXzrDjsOWS5+qZvLkeVStYC+RnKZVbJ3Ow=,,
OEedWuOt/2VRzHV+kSONr3W3LV/jN8fZ249lfKn4Bsc=,,
5zXiy2zHPmHPaI3Pj+Ww5+WeQPGyzrnMMhm/ZoYV6+M=,,
0y4+fwKZCrUNAKHKCPAM2vIFJWa/Tpux2+XIlOeCcYo=,,
NqPVHNbB5qMthdAIQXek1t053Pok06iVZx/y/szThnk=,,
SnKD0MdQzxDOdi84g0gNFHJ/KTUEEXGb3uq5dm2sZEA=,,
+a32wtIyOwhGUoehLpSQ3VMaT67k7aoFuDySS8IOqdU=,,
LFHQoMQetEDb5o+7tnw8Aicb0Z6lAtqKygKZf/BWhYI=,,
Objmpi5Q73yVEcnE5qFxsR85FFV5g6HPrlT4VPDDvU0=,,
GVV67KqTVslNkdLkVjX7NCLm8kwiAL3uUHe+ynfvuHE=,,
ERrDTzmuFS7oVYrNPwxt4aHD+ZT2mciWTiDTZvA/J/c=,,
BSKWBw8Nv7PHuXok4HmwBsHVRUrNVkpy8MOzdDprrSU=,,
J5s+KmKjgnJ2QSLXoctJWinywhmmECoT29YDTMPCUjM=,,
LcafKvwEaFk1dTR7qYhSB+PpSUyGmQXsfG2YaO9oqMU=,,
yVFstT8cvCsDgVqVdtgl7u0Y56RXMUxs5g08HZ0J7r4=,,
RgimznhburBQot1OPMuL5iGHdY7/HcTHsdkGMMQf0vM=,,
penBDaf1cqrIdUKzmlaWnjx7HywC8CmeSWmNeYuMT+o=,,
PlJPa5ZBm6pU5EjcFY8AKjYc+S5Bmw9YzJRohym9lOQ=,,
t9MsJobH2X1DPtx9UPXtF4GT9JiKyvKxM+noZvToCqU=,,
Y9rxgQsuQesRFdQaAd7CifhdBHp+n0G7IisuPksNiXA=,,
J8SzKxKCp4QumCNoxerWGs7zusm3FRTef6/n55zUtHY=,,
3ITOtNKafbLWZ+CZ4pYLYs1oTTYV/5OSBjKpkmUu1fE=,,
jh86Qc8oz1qWw6641KTms4II7+ASCjVtcQkOyIpPig8=,,
oMk2mT/nscLkNbgsliNnjgwCh+y9pQAWkWoXQs+KweE=,,
q+2gaA01sDUWmFW/lbcXQtJkaZ9i6xlApTz+uJtHkFI=,,
MHWv4EBUtYVj3xuDuZAApvJtbxYEK4AvXjFe+HcwtAI=,,
7sddxoFpo/ZVpXLXI7yYUeLlcFFCpFhSmn31SpQXoJo=,,
+eUpRv5jVYXzTSuHUn3zlMWZdxNUAVB0UZW24CD7gAY=,,Vf4U/AiXqgQy6PhO0j5R+6og0GTvj2wf0a8ATkOgY0M=
owhDXO57F7eONINP5s8RzuyB3VT1xKZQvqfkqqgXLiQ=,,
bdi9VUV3618mp0ozj8Z46smHRGY3/YDpAQulvpEJjY0=,,
+T3UEFb/8PPl19INd28u070jbSvmnrmj0fiBbOBc5kA=,,
Cb0l4iLyATG1mnpOeY5Kzkusmxv2vo2asGudspzC2gY=,,
PSNFPAeKyzFGsIGEcLJBv94d36eRL7mWk2IQr+4o6kI=,,
OH7CeDVj84lDgkJ2pD7Jumhfp3CxhE3fX+V0W6U1Ih0=,,zidxk48h57Qpca/jy5FIzy06j3AHVkHAicl5A5IXNZE=
hpUfEvFfK8iWlW4KubZ0ctAESZxFo9CwEGyfAvHhd5k=,,
zgWgpL2AGX3rBvaiqovVurlq7/2ThpGYGES1PyixMUg=,,
amTzmY50oSnkHxaHeV8rdJmLI2JFC3vqs/gfRrg4NpY=,,
K8t3pUa8Jbn6mIeMFgWJfpL7wljQrnyDnzdRlT2QuMY=,,
MZGwe6KLMvilaJqcXV7ME6UzDX9l5BvALHg1GP+IgZU=,,
vAmlFupXd16tiMx32UXcDl4oplT8TYP4Y7v1RRvFZC8=,,
SbaIs0B9T8yEKz5x/S6zp3o3qHKYIrjXnZ9D1gwQ9Hg=,,
zkKLOcl2Ij4zOECz+NnLFbiM1ikM3NKavueTgM9WuXc=,,
0QbJC8SA2luskHDeip20Fpv7p8p3Liaa2ONPScnJ3Fo=,,jSztwbggD7hiNvyoZklaMrEXL0kCl1Miwb9vGXa9arE=
CUnL/wyrjVQgMp2vpMK9Cz5kR2WePefsFO4voG2tdCo=,,
zthkYYqRkXA6gP0pZ6oa+weEZgbm8WEk5+As4stqD7s=,,
TrfbnR0BBjN32nt2DfeFOo23B87kUI8CI8vRu+62R9E=,,
MlbeW5Nsj6byNUCXw0mDVIcPxktF7hhE+KZdbBpkFHk=,,
AJu6kK3Su56da1yHvhE+5VMkK5urV5AIxJa1+FtGDOA=,,FX4f1qjLhbr7mMtyNV4lFe0gtrfVYVRLJ8rqmP8zq9I=
A6OwYqI+pnssW26N4W5r5ci1/AKE+0qn7bVKEduHmHE=,,
NQZhMD5ZO7M0MkUbStN+AZpa/Mu1kLP3odY8kTUVqxM=,,
QRh4IyOZNP9DH5iCr80htOkq67wJauywK90YwaLD/K8=,,
8m28cj1tWnB8k7DLo2gyKZthHrjShPBvsyKCop7Mf5E=,,
N6TlOnnvifedGO+xilV0qW6aARytB7uIL8kK3bx6KX0=,,
4ZUok39HWKp54MTY/XGmAn7A61eGloAhUHGtYhjVJJo=,,
zX+L2UMcZsxSu1GJBovAPXVrOXXgXGsL5hGbZD2PZKw=,,
AmYMbfW9RkZ8yuS0mShBVtzgJzZ7+soGQaemfhdfGrQ=,,
/U4fQEnkaTpbn3dVrCvPpf1qj1pGmKHV45Hacm95STo=,,
T/n/KVWGu5DlND7Kstdxdelc/LfQLR+Rsx8Mw37mvuc=,,
KsCMl9UoYzhpCeNpVavtAy9zyqfUHnkqlC/OkTXG0vE=,,
/6nOlCunq9Lvl0T8U0ZMQVjdx2Q9vF8kDcOpqgI6a+Y=,,
jEdO0itDwXuKGC/7BwgT7qwOAddgYxWn8MdbdRJbQV8=,,
zFN4T95+FzT+0PSh0HQEtI5sjlL4vWsAjUlBeRY1xx8=,,
z1J2R16t1+06Q4M9QhQZnb3ZBYxF/lm7rfioXuT0WbY=,,
NM5CT8mWvIvM/MTk2bSEtRQ6+h7ZYQblWWct+8WeCvs=,,n8E4zhPxAOmCbfdBY5NSrHeaTY8n0wtI4CxSBGBhXLU=
BK549oQZegym0REClXTib/rynpY+fpak+YoJAF58a4Y=,,
qRp/gaM55MGyzYTFYiohpkW7n97S5SJn1eqmRWJ0pdY=,,
FmFtKGH57vCZvbiyg4TZIr5JCQyw5AIq2jzOjXX7Bvo=,,
9tX1pZXskB5+XPR8ir91mRZgSJUssjo8y6sCdzuD3U4=,,
ZHEqmqMkn+pvG0MQ0d8gMXtmsPvdWWiotoesVG65M5U=,,
fYuNQy6nQl3tX5sZfwInj6ePCym+OfRsL872hZVJUPg=,,8hTXVWsi1ShRgLI6Ay4Q056IxHsT3N7Ne7MyScMv4YA=
0WwUvukFqYcaZvq06isHPYBXrrbYGMeb7Dy8aKVehUc=,,4ykDjhiNF52skpwNHSRLusTRKS1FHSJ1hgKkiCZCcxg=
S4uDBdr9epDC7yuAjQtSqAGVQsGNq1gtBATNE79oLoA=,,
6JRApMVNkuKGL4h5mNz4NLRVsiKIA8DSC3jkQtHQNL0=,,
kPOlb+jcCaZeIg86xt9ovo7LSlhza7f4QyWwTQvcA3k=,,
H2IhfxojySbgQfj9mgJb3EhDss60I2z2JXwnZV/HMWU=,,
BTi9bNjqN4+P24iJGrnhgB6CEMj/ZbOFXuO5wuIRF9g=,,
GxqihDCqk8mUQeYh+tTja8gh8iPqpWrGo48EPdJcS3Q=,,
ImfV3gAC1JmhsOuCzMrX6fKfCFZ+/mHAZwaVGHJetyk=,,pG5w8XGWV//HE9unA7DLYfCuPjmIc7vsky/TwDcu+9w=
7IATfKAv4OR3+tle2q1O+o41xild8+3JUl/4VECvhjE=,,ioJjWr4Zu/QRYEVaeobP9dAct4+p9Tn2sro36iti320=
jx8TWRGweGIBF4yr9QazRw3Ivpsa7ceMDXuaHI7j4Ls=,,
jzGr9Fab5jRZuQQ+RQku34gNlkb/HwEqxkKhEIt1d2A=,,
uTjBwPyZHO5jsMOdTebPWrYV6puTqrrfNGWhL8LGxd8=,,
V+RQ7dZPGkjxRPAnvCfPpjriR+I/ZEp79HJnJaFBncU=,,
HKM+C1Y2YrTiRRqMT/mbqpY6blsT1yTHyz6FkXKO7dg=,,
XXlNw+Y5Ywaxe+rP4t+aFT5DhK3SI23iQy4Ie7ZnuX8=,,
XdISuu8YrTvBRQzDi4rT/+2zKCc3CBgk6Sar+EMq4XE=,,
GT4LYdVtPB7e7ZxER8t2Pt91QicXtr3epDhdqoPF6I0=,,
2z7i05dJYGlMCbOE6+Kwh3IKwD9PjLLNJMm3jMAiXX0=,,
x1/xr/bgnZv8wy3sIhh9QUutkKQ322yLO7qvEi1AVb0=,,
vHbk0tAmlelgmAhNmmjzTWa0x5WMM7yA39G1ry2dhNM=,,
qknKeviI0DU9okornvOQtycX3GRvwxTsVaFfWIsHO68=,,
g9H4CqCvZuJ1EsnvTZKyP/JYYLefdLTqWiM7xPVI95U=,,
te4mP1Lt/Lobod2CC66hXKjXgu+/NbM89gQQPCLDnp4=,,
mTEhsLRS16Xb9di6VtiSPVIxy89lCDjfKrcpD63kF4I=,,
r8EHsTK0H3zvSyU0nXk5X/Z0/5F9//hjaMPhSc9elFA=,,vRvl6Q5RUMjrz4iR1lbgIXUxiYIJFZvk9ukRkGm1uQY=
aSpAmEuqMBiydcrMjmAYBAmD1qahilXa1xpWAWtsRlw=,,
8Zv4EfbOCWrjtTHHfT5/Uxq0QaK1K+G5Y6Ac0qD4il8=,,
Eifw7aCetZz+rGE+1zdUKNgRFvZMLHTs83UzXny2aN4=,,EDQCwpWUE7DRWB/NruGjSxlxOW/TUzAzn7s1JngPpUE=
RJyQjDMB/t+ySzJ1O9RPZ/JDtxY/OHa49ddWLnMvswE=,,
/TB8X+uxaD1/6RJNmN2jtkrbfLBc4464VGw3XsJRccQ=,,
HVhkVIW1mBKd9yAVHwmpJqAoAy2NqAfqyDSv4XGrmv4=,,
z5/DcgDBq3CXkvWu3ownD5IQ7GJ/LAptVmjvnhPZAaM=,,
HTYlqitLAcNNkzFNjZlhbpuQoxHCbrQOBK0qiNe03j4=,,
Uqz9pZjgo7viIbbHiQBYOQh3J7pdP502JB0hLCFKn8Q=,,
7glmIFW2eJH7WGvEu7KhaXIjaP7hhmWuqFpE0urqsaI=,,
nXr3unYDLdCYtp58rq4Ldqzk8mZCbIqDVrhZAA4a6EA=,,
NJ4YBOFQpmy0SonJ3tWuA5DHPCyoIo0NJ++uxvxbvX4=,,
iRtghqxqkRe3RllH9iGIJ3uoFaoTB5JQwQg8jcNrXT0=,,
tdNkOUYPol8I1U5w7cDvX0WziKFsbTgoPb/ao9t0FBw=,,
LkQo+vxc5zeAMK1mdNHSp2pOJjyTFkpBsJQaNwYBgPY=,,
D+MqnaszrajaVXQW9+2zDHn1go+aaqGBru7e+o34i3Q=,,
ZAzqdAYqYP2OEVdOOH4ESMa38PUpxMCkjJS6h1B0msQ=,,iv1AbZ2CE8UE5YmMPQXTGPzD3I3irzJt24Pyj2reMoQ=
xVfoQiHzHH8Ip5jvutDJhjXnr8C1dMUDQdf8P6Kuguw=,,
dpGqk9xyG7rn2l8wkk6urrOsfPb1rMB99wOvRfagzhg=,,
EeWjIMDyGsdTgeJEUtFaJNrpoCMSrK2b2iH6hF7LE10=,,
H/nfarAmk+jvhJ1IvSQHDamfRBeWLZGrpfc3woUk2f8=,,
Qz2T2lHktLVQ0wJd3Ba6Cup7P0pNa9NOyrHxe837Yfk=,,
i0xwz4YP3ABRD+boxSzxpz0j92ZlJ0QB3Lf103N/dbA=,,
aErZemrDOOIBgvLmc3FMgH+qoSPhumhob1Umus96SVU=,,WxNvx323e/OEsRRI31Mj8Y44f3EqjE8lrNzkOeZNxZo=
6k0TXpKpgnhCqJo+s2U3QLmWCUpz3PwYP6ux6GlHLQ8=,,X9BHx8fyQyjLQI752w3cA+2rZ16bQr46Tk1r3RIkoj4=
FSf+trIV1B3RrmEj5/MyL84JKL+Jlwz9ATdz798FmL8=,,
vyTTqBHcqeeN6bqAW7EWIG0V36gO1AzAOh8UT4P6h2I=,,
yegOw3tqo0gHre9+HMBisHcRhSVM+lHyWMZR04Pam60=,,
yq8C0Q21LQS4Dzt7H7nypLYIMJ5noF4QtMuVNTjL9bo=,,
swuuZgFAFU0xWWh6Je1oFglNImAYlHhpzWguRP9niik=,,
6uJcRBMOh5FZpP6rHlETdp8/zyYT7qXGzO7IBMHw6cM=,,
HjT2SQgIOI/rstlQjA/x4erwYeLGTLvkYmATKqSlz+4=,,
byn+/mV0CJIgJ+GCF4S/UHazgVY8C9sWPlJR3TaZ11o=,,
EujexkfM6s1IumB4N8djZhDRiNEghLZ+jGNvSRKeOro=,,
GeUAn0pagpz4vEqeSl3IMnvFwZwXZan7J3oqhFATsR4=,,
mZ5+AGNILhpn0fixtQP6u7NqspRh9paQkarMYqMxeMk=,,yBoc0urHvmOg+ele1LGrS2OKdePDJ3s37J085uzW7Mc=
2cQ6N/yJnWET29vdXU0jsxJAL3u05QgEH84WBZCuiCM=,,
vlSHejJu/4bHRGiQpI8vFXHr5pewXR4U1ByyUue0wd4=,,
l342TWlBnYUW4lmAO+u/ZjokdIe20ovUjuew0PrzhXs=,,
x4Zg8KElJ5hquagrQP/wsVZzucsUbaoYM7TDMnJko5w=,,
sfNPg8gx7zEBLwU3NCD0zv6ug+lYzMKJLF0uCdtsFJo=,,VRBw7IaUN0n4ulOttuwVPpfCZngfHrzFBhcmW1OJDtQ=
UlH+68vF8aTVBT2IuR8B/c1+XT46ckLBzssWOIp4pYg=,,
rqalUI5CnpHNAVOE+iWiUvwVpoAQ2NM2qKOdpjnIEQU=,,
aWhd9em1Vih5pG74MboDZPfCddjQ/XSolACciKe98o0=,,
3Hz5fW7T/q/S8/plKAZSHVftCLj4ZogZ6dCxwwVm1JA=,,
MsG6RnBvAzUfRPEI7OHyBXNaxvHKUJQZwubgPCqsdy8=,,
qJ+dUZnwusWV3ylqVURxT98pw1siqknGfTsbHOdRJ3Y=,,
vwqvWY0eZbZH/62uJuBr6DO56bZMDNXh8sW7t51CnQg=,,
w/6be9AlffrrhKA+5/k0a7DYaaKG36frYTTWnEyaXtU=,,Ll+y3wSuh730r0Glup/YR7HZ8z3o/zcz3MVypbTiwX8=
xsje8hQ9Fari7Ed7nj8cA8QUW7g66JAMRAJK+iox6DM=,,
+loXEW4kFjXbMYQbi5V87jAFh+QNSWl9EctsoZsG9fM=,,
F3o3pEs5+L0qFXbPtLd28BuVO+zErwz2mnx0jJ3GUg0=,,
QqsN+uqisUIRb6XIAgP+ceCcY29tM20RsKPlZx4JzrQ=,,
dhVh4KWT+hoG9GUBSfq5pRxSexLMHJOQUhdPNPL/w/Y=,,
kyX8auB/kkK6QlR7iQGmkGprhWSWkEU95AoP7rNY1Cs=,,
a6rXHMo8AI1gx+FLWjSKCFT9/GnSo7KNVqxMD/WqGuM=,,
kHm+7MoEPnGVS75nj5RH+K+GKdtNIXUTiriKJmXvubI=,,
bIe9tyR418YOxBqNwsdCayEGaLY6/Qty/lJD6ASMzY8=,,
lffhWPAtxvrax1UdF5oPjlZzDpcCBE6FqA9e7D1fuxM=,,
ImzlfKonwRROf+idMWx3/OXe+IDR0IQDIRS8b9ii46I=,,
7dqcJqx3fZI7SQA9+1zjUpUzDvz1XBGh6udX6VmdaBY=,,
uDFVd1Q9obqlA4P4xYQ+TjMh6WKMPFd6ThHrxFrYLsI=,,
g8BE+SgmqmfU6QH2sNCnHIYWOYQ9UYzIrzBnHssjTkQ=,,
IBIouMB/1T9mf3AOAf8s19Pcsf4JZP6LJFkh5C+z240=,,
Tt/95jFmaRHhYVqeLkEgOTjfCNfyji+F8HRjRJzRBMk=,,
l2NgyJ/vMoZCK7Jf21jz1lCbydzhZWFxoSDvPX1vzl4=,,
kVsLXAWazViBl8iLaFP+UYZKpTxSyZXBqtanYVqaupY=,,
ULH1G1T8XMK90jURcH27SeaKyr64YNjIt0dxxeQgoxI=,,
wsdrwN1uRcHozDIKCDlMNXnIaAQuquSeySeIvV5U3D8=,,
K4A7UTETSO0VRw5eFOGrQgWN6Pv9virUedIK6VWnfjk=,,
82TbVs7Eso+wWtBCKAfSohKvfh+SWLT7KfHPldtLzw0=,,
tnBuF9YoWlikOpn8cVntnMldqA+TumgZ8k7OUo/KBB4=,,Paw/QpyJOgghN8mWoGXyeFjCIL5C7sAazszlmcYde4E=
+eTfvseg9JE4ujS+/PHRGRoC6onpP+l9JapI9daTPjo=,,cHaxuQ3Elg3iJPrXeJxMj1dFgPaZCXebsW2oIXd/y5A=
tALaB/UERLtKB4gjIiHmYbzPvCwePwAEH8vUG0JFNiA=,,
oub1i74QxOhhb9l6jm5jaMzEqv6aRzVbxN3bElxF6u0=,,mQx84G7n2hZ8TfzwEx8v5+EeDTDL3ageePjUwDf6+Xw=
tUsflFMcpZ+hJkVkDxxY7IHohX3fouzk/7q8eCKPgmI=,,lmMIzZIBOV2OvJyLzhik5ZOqOMSm3MlfVSVMZf+HCP0=
9mjf4Yoti/V4XcpDqdkLfunYOy4reQPb3KEN9FGPh+g=,,
vAj9RYm48ikDDtjYKqQcOgom8pPwv5W6r9ePgwAkVuw=,,
0afOhS7oBUGlrVnopjHG06P5WUi5kCruwTGME01N8uQ=,,
5aELyJP+r5MEFa7YDLi32vN61OWnLaTkRFbQFyIqmy0=,,
Qhm0WsDBbYa3TvvySmK2FZof3Udaeg+s/TbbTNoKytk=,,
eqF2Rutpm9lNhWfEYW+ZOG/LNGE9HmG542/RXPk+C38=,,
WWtPProBhLAWLlmFgWBdey2ZI32+cbQa6mFzPR077W8=,,
UMKaNmAD5vU2tKVj+Mi+4KJHl8hOvNAY7Jrm8niMUl4=,,
zv6TF5R4Wd1t5rAYdknj2jC/pQw8W6OKh9x6xKRM2PQ=,,
LfFyqsAHIDmE/1nnINguhZ+FQyQcMVUber6XhpdgOLA=,,
yf7XL3mPk8WEZ0Q1+sxJiB6O4mszChvw72RXbXHuwC8=,,
sswNGkACOaKWAjAQlydRHc5+0PMsjkKvxY6JCoD2/wQ=,,
niOBOrMpKd2ScXR65UEtfyiRLqFWXbSy4Zy9NxsSMOI=,,YHsjOYphSJH9LgzkXGdUeGwIWogNhOjcX1Z8nNTzrgo=
PqHSbpyUifht90h4DJ1WuOH2MpthJQDgXzcoJ3SrCt0=,,
nS9WBN2cPsEEgBAOVk8uplymQZKWYe3hZWAh3+mkZqI=,,
bfucON2uIELrkcG9+JUfcq3ccgCVbTDFdGD0d0+sEus=,,
