col1,col2,col3
95: 30656-28325-63597-64398,Not Voted,$chacha20_poly1305_aead$r2O2HLkghxg8fgLD$cjJPMkhMa2doeGc4ZmdMRA==$PYznUHdEoQ==$sQXTjWG4X8wQ6lk3OSWRTg==$
21: 75567-27128-28424-34139,Not Voted,$chacha20_poly1305_aead$15+IUVxaLdM8/XCk$MTUrSVVWeGFMZE04L1hDaw==$9KHMEiRwcA==$GpKUBaJvLEyIZCJffQjNbQ==$
83: 98733-38234-98805-58719,Not Voted,$chacha20_poly1305_aead$KPI2thSGE/+dgMsv$S1BJMnRoU0dFLytkZ01zdg==$TeCJC/T9ZA==$fduUvS9HsCDfI8OcdM6wMw==$
67: 00983-24743-49863-58971,Not Voted,$chacha20_poly1305_aead$eD/tvQ6s138XJJoJ$ZUQvdHZRNnMxMzhYSkpvSg==$5UCY8tyQag==$VG6pnrXh9BCvnTAco8/X4g==$
40: 57954-86790-00776-85610,Not Voted,$chacha20_poly1305_aead$DW+s0FvvLa9S/0Eu$RFcrczBGdnZMYTlTLzBFdQ==$sf8B4VkM3w==$Etrna04llJADvZWQVvaqPQ==$
02: 09065-31123-78807-71769,Voted,$chacha20_poly1305_aead$+49FUA22blTRVIhr$KzQ5RlVBMjJibFRSVklocg==$vLMKnwBf9w==$i8mOcp4QjfYvOEoCTlvemA==$
31: 18623-26967-64028-94773,Not Voted,$chacha20_poly1305_aead$uKXjP90u6ZMpysjU$dUtYalA5MHU2Wk1weXNqVQ==$Q3tyViN56w==$Q/h0PcTllWeGh7zEHqNtnw==$
02: 51905-19776-03214-11945,Not Voted,$chacha20_poly1305_aead$JQdb8GvDib7gYNnD$SlFkYjhHdkRpYjdnWU5uRA==$fPBijXhimQ==$E7KiMRtUz3+YGk9z6up3pw==$
26: 14753-53002-06617-73947,Not Voted,$chacha20_poly1305_aead$0cdrDxP8+/aMAhwF$MGNkckR4UDgrL2FNQWh3Rg==$2whH5nazWw==$pVHQz7mBDzdhdjnhW+skYg==$
86: 74270-78203-45434-95970,Not Voted,$chacha20_poly1305_aead$bqTZoa11hoHjbTJr$YnFUWm9hMTFob0hqYlRKcg==$2iGaf8NXeA==$/jjRCq0nUjmC/v+SGayFWg==$
19: 29540-02017-12746-30070,Not Voted,$chacha20_poly1305_aead$j3FM+DqDkqsgDV+o$ajNGTStEcURrcXNnRFYrbw==$fy/ede4bHA==$40Cq84BsOBJfSLs68gIZgQ==$
54: 46910-71057-79239-85052,Not Voted,$chacha20_poly1305_aead$szMzmRfEfCclypN3$c3pNem1SZkVmQ2NseXBOMw==$YqNoMh6afQ==$0Dc2y4e7sHsl50pzeel7Fw==$
35: 33347-27560-47243-83289,Not Voted,Against
09: 10180-10036-95358-16283,Not Voted,$chacha20_poly1305_aead$yDA6Hht0J1bX7oIz$eURBNkhodDBKMWJYN29Jeg==$jyOXkGL9Cg==$wFYhGYTPI/dFG0DzfHYW7w==$
63: 28596-59998-61544-30683,Not Voted,$chacha20_poly1305_aead$3RnuAnGMF2N5orOv$M1JudUFuR01GMk41b3JPdg==$s730tpWI8Q==$Hxi5PL3r5jduLualHm1W1g==$
53: 94881-84675-62624-53282,Not Voted,$chacha20_poly1305_aead$FVnnONXhF0y1QcHD$RlZubk9OWGhGMHkxUWNIRA==$NUFnr2JIxQ==$0cIkRyCDuE2w53GcJDq/QQ==$
84: 92081-43689-02288-15635,Not Voted,$chacha20_poly1305_aead$MQdXTCBN1pALqB5q$TVFkWFRDQk4xcEFMcUI1cQ==$SSuQtg4/tQ==$MQMxNROazSCQA1caT1s8PA==$
20: 90137-13853-64703-11297,Not Voted,For
59: 66341-81191-16012-29054,Not Voted,$chacha20_poly1305_aead$9DguF7XKKskQFwzT$OURndUY3WEtLc2tRRnd6VA==$e99i82s0Ng==$8JUGeTQHP/eFs2Uj2jXbKQ==$
