col1,col2,col3
,,
,,
,,
,,
,,
,,
NYtmKlTuvT/PR/CR2SxEQ+mkQqkPywzEXOs2LTiYgRs=,,u5zC3t+fse/8A9z6ckWFz5uE/45AExPLClxOMBSKL40=
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
/GvYRFtyak0WGvGWoxonOGP8CCOzhDbwBDJRghQtNQw=,,kyKAcwBiL0DczJn+fBZk1rJp09Z4qa6RSDdQhzpChPo=
,,
,,
,,
,,
,,
,,
j0d3rJkDUphx8bhs9a2LOolz+SWmKD8GWnpY6Deth9o=,,Wm3auO8dI8g7dCl77/Ajoffy+UMcoWuD+soZlt9uYO0=
,,
3d9ZWgXwN9vPZBs8Gqnvrr7h1cydEYWhF43rz8dAZJk=,,8UcTgcT1l8drtfUh+hq9smxoMEdV+7FdBV9Q1UL7pXA=
,,
,,
,,
,,
,,
,,
,,
,,
,,
RgcmENLUaeK7CxpdsuX1ADxeU3f7RVd51acluMaGTgA=,,3KdZR0aQc/yuS+x/wESIFw+RHSUrcL2JJ5t4gEWomWQ=
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
qO7H+c4C3gJMic0vklm93VZcimf45o9r7hHsj9+LckQ=,,xfMvOZRWFfJZqvmcY23tQ+4brgzqt4oj/WtY9ciAxZA=
BOH4g6LIuIlIEe+4fM/Ehx2lx7JZOpIuVNdV5ySzRdk=,,gZW3drQ6YRtETyYqrA8ocvMP2q7QnO+J/jwIfhYoSZY=
yNFC59vQssOFQVN+qlL6MNfHKMvK1yKRg9YYOqjZ/gM=,,ncybRWELdpvjwjF+8vmTneJrPmbUDEIFu8ZcJlfNEuU=
13qVf3Hu+Cm8WCF837Nnhn2J2w1kn6vIc/JZQuXZFjI=,,sXV7Cz5Avwjg+bQApi/iS18GJQ+fQvsCu3zpcLOZnhY=
,,
,,
,,
,,
QYTef6dcuzhHS5iLsc7zvz6iR+oTU0NP96xr5Bv+pOY=,,9Yh9FcVE7P6nrJud3AtK/LcZdJCEjRKZaPefb4icbAk=
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
XmmuxvAmiDalD+I7OveB//7qxDrA3/O1289aaszR8fw=,,UNdfhC3ONYcHyCjtV6zmH88SLCxSsx5bhe3OcYCb/tg=
,,
,,
,,
QJi0J4iFYjY/B0BRJJLYqM9C+ZLiLoSZoZv7Uv2FpNE=,,Csk7oY66g2hsaYlhtZHx/dvIMw2+d54k4BHm1ZESm8w=
,,
,,
5eidO+9vH2c7urqMEY1mjv5SaGsjABmLM9gCzpkNRbs=,,4ZeeR1YWu6mFIdrBHonpxSvyytZqFEvu3slr4GSkh/4=
,,
,,
,,
,,
xDizZb6+WwqCuKHGxuFvEWqM9c4LUtMarCuixw0PlVg=,,WQqVyRpjfGNw52Al5eaz5bJ/tRq5KAZfLXEfmvu059M=
,,
,,
,,
,,
UN8u2gnBDxpt1+AyV7zseHsBAkn6a4mw5Dncg8uhhec=,,gEip9aeWi46GFcJUHc4kwFDh67108RY/23pjLhrf1g8=
qsfbJrAGw/jss7qvC45Vw4qGenPsB+2UJapqwz5SVRc=,,YxxTZowPkCF1rZScHKPmspw6PdGPkVvd7GpiDhMyQNI=
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y1uNe6++e4ql5j2WLGGHeMkEzlr+1Mahc9jVH6UuKqc=,,uKuaGOapS/rA6icERP1Uo2DpujXFjvPa6kUADLAuOSY=
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
c3v4ygecFauaWkNRK4dQEqjJSgbzyNgFtUaP3m94jo8=,,GDyOX3lFjPK+JkHS3se8qEUAbFNq/kc4vKXGW39bEaY=
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
gS7mfmjpxQ+kL1O7TQ1QoqnXfq90GFTCHGyVJnPVWnw=,,RkbdwnEcn6/P0dTzj9IOS1EPBn3zqEBsgpanDjYkvjE=
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
scYiPjKGgmqtYb0hIgDDIuqX28etx+hHIp+cddr/65M=,,aq2ymiYDIPSIWKtwv0ajA167t2Di5CPHbw6NUiryZkQ=
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
zMJpvLooRkY/3QLu1+1PKBkO956D7WeElQvDu+7E/iA=,,FcPfFPVQTi5oJLor+ZLvsOfNZTplH03LzLOW182eZ7I=
,,
,,
,,
AuDfSBUkB1tGJPfMTWXUz0P4+fOR0Nkm3I9DW76LT6o=,,R1MOx9gEajMZwE4ouh890vX0DFq15SF3BPwxif9LlAM=
,,
/Hft+dfEnzRburpHWD4Avyyp8zc3N0ICHWYv5ZgJUxs=,,S5lIfzVY5Nbmc0PUhJRM7b+CQsid8O+ewq5ovsBik5M=
,,
,,
,,
,,
,,
t3VYZrvt6DhxK9jPiYhJ/HFP1nYEXdh/Q1f4BKPx6gI=,,GdnoKVruPyi9mrsoVEVFYuj+/c9yejdx9qQ3IFkmGtg=
,,
,,
