col1,col2,col3
$chacha20_poly1305_aead$upzgQSfjsioFSjK3$dXB6Z1FTZmpzaW9GU2pLMw==$kbevK2PHzxaH/bO9oxbyvDzbZKxl3IsQwhHO$NmqDeSImM4IY94bApntzaw==$,Not Voted,$chacha20_poly1305_aead$nSQZogI6laY4CNDn$blNRWm9nSTZsYVk0Q05Ebg==$K8f9JHMK0Q==$qj7SM2WOUvnNzANWLzzgDw==$
$chacha20_poly1305_aead$D+ZgaUwPb2Nq53D5$RCtaZ2FVd1BiMk5xNTNENQ==$MGRRToAqkmwAH7H3ba0leL6UijgbDUb6I2cW$1v4oKhWcLB7WkXPj/7oL5Q==$,Not Voted,$chacha20_poly1305_aead$0bQVw9GpFzhGkAto$MGJRVnc5R3BGemhHa0F0bw==$GCPnwmuKfw==$5bk0GttSH8SxoxkIlmYmGw==$
$chacha20_poly1305_aead$AhRgUj+EAmFquCoq$QWhSZ1VqK0VBbUZxdUNvcQ==$ptFspU/7IfK/JLZA/N7tw8fQPHgl55suhu4g$GUdjT627MqB3GgFhZ8xXiw==$,Not Voted,$chacha20_poly1305_aead$nYf8kinxFTnNgA3R$bllmOGtpbnhGVG5OZ0EzUg==$cr7RXcru8g==$5YMLMwfWfZCcTqnNdVc6PQ==$
$chacha20_poly1305_aead$SrCy+t4T431w80NB$U3JDeSt0NFQ0MzF3ODBOQg==$lVQ45rumNRCmbrKGuEnTe+/F6IHyp3Vx3w9T$ZlAuDzKt8EjhNbBBztnhyQ==$,Not Voted,$chacha20_poly1305_aead$UEcQVxpGFf/vI9/w$VUVjUVZ4cEdGZi92STkvdw==$ILI6rDoajQ==$4fJuy+Z8EQCPNjy6FXW3Rg==$
$chacha20_poly1305_aead$ysai/Ss4WgRlj4s5$eXNhaS9TczRXZ1JsajRzNQ==$Id+ccFlXdSUgvagrpDSX6npJTLQNoezu8Hrz$ATi9JxAIEbcyRb13HoLecg==$,Not Voted,$chacha20_poly1305_aead$Z38vp6qR+48usOtv$WjM4dnA2cVIrNDh1c090dg==$ytonFiS+Ug==$1z0m9WDDZ8MARTCm86OEZg==$
$chacha20_poly1305_aead$jXpY69PxYlE8Wg2f$alhwWTY5UHhZbEU4V2cyZg==$HRc38n3eeZ7VVK0AdEAONBmBGjok8IPbozSr$KmKHGXp9tNPInYAq94aGaw==$,Not Voted,$chacha20_poly1305_aead$7j9TTYkvSjBGMJB6$N2o5VFRZa3ZTakJHTUpCNg==$vOdJ9dIAcQ==$1p5Bl/n6skE6cc2QTF0YQw==$
$chacha20_poly1305_aead$id5wmlCE60KQrRWb$aWQ1d21sQ0U2MEtRclJXYg==$DwyFHoDW4WQmJ+yEusjEl9a6GjdQhzYg2I1o$snz2Zag+aao+OcHWdlbszw==$,Not Voted,$chacha20_poly1305_aead$jXBDQPKmz85OMm02$alhCRFFQS216ODVPTW0wMg==$X/fpbaCB/g==$8mmIq2hfrLPJG+bPL2HzSQ==$
$chacha20_poly1305_aead$ucqi6KvviJDqyFAn$dWNxaTZLdnZpSkRxeUZBbg==$jbDA6z+xeMMZEoyISxkDRDCgGR8JXsy1Jfxq$9+LAWxPacxOQpYc6dF6Eqw==$,Not Voted,$chacha20_poly1305_aead$T9SGur9/zLSmJ0xs$VDlTR3VyOS96TFNtSjB4cw==$3VBgvT1FtQ==$gWKv6Fru3mUijYkwibGXVw==$
$chacha20_poly1305_aead$UJB9dIFUTsjB2pdF$VUpCOWRJRlVUc2pCMnBkRg==$AMwOC0LBMfWv5j64dt4uSlmoq5ZyK+rx/39W$wuUYN4JiDnYTZ2HPYccswA==$,Voted,$chacha20_poly1305_aead$hTwyNpqWvPP+Z8f5$aFR3eU5wcVd2UFArWjhmNQ==$ZoJM9HLGCA==$2r8VGXJP6vsOEW4b3KNMBA==$
$chacha20_poly1305_aead$CXqMw9vG7+aWJ7Yh$Q1hxTXc5dkc3K2FXSjdZaA==$NKtLUBd38dLJIYpVtb3Rz1EFkGAMQ6tvhvbu$tGDnVuA6sqXSVG5GvAXfbQ==$,Not Voted,$chacha20_poly1305_aead$qdIfwSQoUjuc7DRd$cWRJZndTUW9VanVjN0RSZA==$+EZnPlpJiQ==$A0WVRtpjrOGSkBzoWLMBVQ==$
81: 32483-66909-29351-27290,Not Voted,For
$chacha20_poly1305_aead$PHdpeauz5pMl29KK$UEhkcGVhdXo1cE1sMjlLSw==$FgKroiuInS1eDrYkNb0zhKMHBH6Picrajpwa$iKgo84qOwPX32JB54+Bl+w==$,Not Voted,$chacha20_poly1305_aead$6UHY3Ov9PxRaC27A$NlVIWTNPdjlQeFJhQzI3QQ==$wREnxit1Rg==$CzSUNFWUDPqBHLcjg/QmxA==$
$chacha20_poly1305_aead$ByncXE3+IIJFmfdP$QnluY1hFMytJSUpGbWZkUA==$8YxIm2kQ8/Xv9+lJhgI7NBem7w85pdj92Ffj$57JDDyaiA9901shvfF2feg==$,Not Voted,$chacha20_poly1305_aead$7jlQtPUI3oEAu/26$N2psUXRQVUkzb0VBdS8yNg==$GtHjLHXtLQ==$GWbDEFayz+whmnJyxJqQqQ==$
$chacha20_poly1305_aead$UkYZRp1S4naP5wRh$VWtZWlJwMVM0bmFQNXdSaA==$KDJdWMyS7DicdYlf5m/adly0ujrHF3U5drr4$tFC0OFim2Ri2A1tY8ffVVA==$,Not Voted,$chacha20_poly1305_aead$EWPvG9l/K14KsgFv$RVdQdkc5bC9LMTRLc2dGdg==$DqpmV3WqKQ==$Pbx0/roiCRcSdRYYaKn/9A==$
$chacha20_poly1305_aead$mLEJaMA3iScwZYfg$bUxFSmFNQTNpU2N3WllmZw==$brIHBAt9B9sj2TkUTdMkgJ+8opRmIHX4fWYW$VcduCHBcGRZWVbR8zjvy4w==$,Not Voted,$chacha20_poly1305_aead$w1ybHBzw4CvY7XZn$dzF5YkhCenc0Q3ZZN1habg==$3BWkFB77tQ==$FiR1u0a9nSXWpWXWeX0bbQ==$
$chacha20_poly1305_aead$BrkQd5uJElcx+fdT$QnJrUWQ1dUpFbGN4K2ZkVA==$GpJQ9SX8r8NafRH/4qW4JkWabX7p8W+tOCG4$tt2uRdMOsE5UNb3aFA9qPA==$,Voted,$chacha20_poly1305_aead$rCHRgv0bU6VapU7T$ckNIUmd2MGJVNlZhcFU3VA==$4Lyyr/8EMQ==$2sYONH1BhOpZ6I1ArQa2GQ==$
